Year,Month,Day,Hour,Lat.,Long.,Pressure (hPa),Wind (kt),Class,select
2024,10,24,18,13.5,145.7,998,35,3,1
2024,10,25,0,14.4,144.5,998,35,3,1
2024,10,25,6,14.9,142.6,998,35,3,1
2024,10,25,12,15.3,141,998,35,3,1
2024,10,25,18,16.4,139.7,996,35,3,1
2024,10,26,0,16.3,137.2,996,35,3,1
2024,10,26,6,16.6,135.3,994,35,3,1
2024,10,26,12,16.2,134.6,994,35,3,1
2024,10,26,18,16,133.3,994,40,3,1
2024,10,27,0,16,132.6,994,40,3,1
2024,10,27,6,16.1,131.8,990,45,3,1
2024,10,27,12,16.1,131.1,985,50,4,1
2024,10,27,18,16.5,130.3,985,50,4,1
2024,10,28,0,16.8,129.6,980,55,4,1
2024,10,28,6,16.6,128.9,975,60,4,1
2024,10,28,12,16.6,128.4,975,60,4,1
2024,10,28,18,17.2,128,970,65,5,1
2024,10,29,0,17.5,127.3,960,75,5,1
2024,10,29,6,17.9,126.7,950,80,5,1
2024,10,29,12,18.6,126.1,945,85,5,1
2024,10,29,18,18.9,125.4,935,90,5,1
2024,10,30,0,19.1,124.8,925,100,5,1
2024,10,30,6,19.8,124.3,935,95,5,1
2024,10,30,12,20.4,123.6,940,90,5,1
2024,10,30,18,21,122.8,940,90,5,1
2024,10,31,0,21.9,122.1,950,85,5,1
2024,10,31,6,23.2,121.3,960,75,5,1
2024,10,31,12,24.1,120.2,980,55,4,1
2024,10,31,18,25,120.2,990,45,3,1
2024,11,1,0,26.4,120.6,994,40,3,1
2024,11,1,6,28.3,121.6,996,40,3,0
2024,11,1,12,30.1,123.4,998,0,6,0
2024,11,1,18,31.1,125.4,1000,0,6,0
2024,11,2,0,31,128,1004,0,6,0
